Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,1166193,29,23,51,64,104,1,521,0.000%,3886.67518,685.90,463.06
TOTAL,1166193,29,23,51,64,104,1,521,0.000%,3886.67518,685.90,463.06
