Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,103909,34,33,60,66,79,4,264,0.004%,346.30562,167.90,86.24
TOTAL,103909,34,33,60,66,79,4,264,0.004%,346.30562,167.90,86.24
