Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,8783738,15,14,22,26,41,0,685,0.000%,29270.73572,4279.44,3487.33
TOTAL,8783738,15,14,22,26,41,0,685,0.000%,29270.73572,4279.44,3487.33
