Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
단일 URL 상세 통계 조회 API,473547,2,2,4,5,7,0,107,0.000%,7891.66083,6055.24,1078.94
TOTAL,473547,2,2,4,5,7,0,107,0.000%,7891.66083,6055.24,1078.94
