Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
일간 URL 집계 Top N API,313100,3,3,7,8,13,0,99,0.000%,5217.55070,8843.91,799.96
TOTAL,313100,3,3,7,8,13,0,99,0.000%,5217.55070,8843.91,799.96
