Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
일간 URL 집계 Top N API,313100,3,0,99,2.72,0.000%,5217.55070,8843.91,799.96,1735.7
TOTAL,313100,3,0,99,2.72,0.000%,5217.55070,8843.91,799.96,1735.7
