Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
단일 URL 상세 통계 조회 API,260,4690,4690,5240,5515,5618,3643,5867,0.000%,4.21169,2.38,0.58
TOTAL,260,4690,4690,5240,5515,5618,3643,5867,0.000%,4.21169,2.38,0.58
