Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
일간 URL 집계 Top N API,26,63045,77591,78271,78362,78366,40661,78366,0.000%,.28608,0.65,0.04
TOTAL,26,63045,77591,78271,78362,78366,40661,78366,0.000%,.28608,0.65,0.04
