Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,8647050,7,7,11,13,21,0,240,0.000%,28822.53925,4213.90,3433.94
TOTAL,8647050,7,7,11,13,21,0,240,0.000%,28822.53925,4213.90,3433.94
