Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,9116869,3,3,5,6,9,0,150,0.000%,30388.55038,4442.85,3620.51
TOTAL,9116869,3,3,5,6,9,0,150,0.000%,30388.55038,4442.85,3620.51
